idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
72,1,1,1,1,0.991,0.991,0.541,1,1,1,1,0.541,1,0.791,1,1,1,0.791,0.801,0.8725,1,1,1,0.759,1,0.982,1,1,1,0.982,1,1,1,1,0.9965,0.9965
73,1,1,1,1,1,1,0.3415,1,1,1,1,0.3415,1,1,1,0.9755,1,0.9755,0.72,0.9045,1,0.9955,1,0.7065,1,0.4395,1,1,1,0.4395,1,0.983,0.9345,1,0.965,0.8855
74,1,1,1,1,0.969,0.969,0.391,1,1,1,0.985,0.376,1,1,1,1,1,1,0.814,0.9775,1,1,1,0.8105,1,1,1,1,0.8535,0.8535,1,1,1,1,0.9095,0.9095
75,1,1,1,1,0.987,0.987,0.664,1,1,1,0.983,0.647,1,1,1,1,1,1,0.7645,1,1,1,1,0.7645,1,1,1,0.9955,0.2445,0.241,1,1,0.9705,1,0.74,0.74
76,1,1,1,1,1,1,0.364,1,1,1,1,0.364,1,1,1,1,1,1,0.5555,1,1,1,1,0.5555,1,1,1,1,0.948,0.948,1,1,1,1,0.9665,0.9665
77,1,1,1,1,0.7335,0.7335,0.697,1,1,1,0.821,0.518,1,0.6495,1,0.9655,1,0.6495,0.884,0.4295,1,0.8685,1,0.4295,1,0.984,0,1,0,0,1,1,0.2355,1,0.1845,0.167
78,1,1,1,1,0.9025,0.9025,0.7135,1,1,1,0.972,0.6855,1,0.82,1,0.9775,1,0.82,0.916,0.705,1,0.992,1,0.6935,1,0.984,1,0.9965,0.517,0.4975,1,1,1,1,0.952,0.952
79,1,1,1,1,1,1,0.3395,1,1,1,1,0.3395,1,1,1,1,1,1,0.5545,1,1,0.809,1,0.5545,1,1,1,1,1,1,1,1,1,0.533,1,0.533
80,1,1,1,1,1,1,0.3415,1,1,1,1,0.3415,1,1,1,0.9725,1,0.9725,0.715,0.902,1,0.988,1,0.6995,1,1,0.816,1,0.7235,0.7185,1,1,0.9485,0.5905,1,0.59
81,1,1,1,1,0.8695,0.8695,0.821,1,1,1,0.8905,0.7115,1,0.6495,1,0.933,1,0.6495,0.858,0.645,1,0.9535,1,0.636,1,0.984,0.172,1,0.025,0.025,1,0.935,0.287,0.9995,0.232,0.141
82,1,1,1,1,0.96,0.96,0.3765,1,1,0.998,0.987,0.3635,1,1,1,0.9885,1,0.9885,0.572,1,1,1,1,0.572,1,0.862,0.9975,1,0.353,0.343,1,0.9335,0.875,0.8255,0.2745,0.113
83,1,1,1,1,0.672,0.672,0.665,1,1,1,0.6585,0.3235,1,1,1,1,1,1,0.852,0.9745,1,1,1,0.8455,1,0.984,1,1,0.079,0.07,1,1,1,1,0.8645,0.8645
84,1,1,1,1,1,1,0.691,0,1,0.608,1,0,1,0.6495,1,0.873,1,0.6495,0.5815,1,1,1,1,0.5815,1,0.4395,1,1,1,0.4395,1,0.989,1,0.9955,0.5585,0.5455
85,1,1,1,1,1,1,0.553,1,1,1,0.999,0.552,1,1,1,1,1,1,0.8555,0.979,1,1,0.9825,0.835,1,0.832,0.9095,1,0.22,0.1485,1,0.932,0.9065,1,0.7585,0.6755
86,1,1,1,1,1,1,0.4925,1,1,0.0155,1,0.0155,1,0.6495,1,0.9935,1,0.6495,0.8245,0.697,1,0.96,1,0.669,1,0.4395,0.7875,0.9055,0.7095,0.4295,1,0.675,0.961,0.5015,0.9395,0.4245
87,1,1,1,1,0.6175,0.6175,0.644,1,1,1,0.8375,0.4815,1,1,1,0.9965,1,0.9965,0.728,0.9055,1,0.997,1,0.7145,1,0.984,0,1,0,0,1,0.9335,0.3695,0.984,0.28,0.206
88,1,1,1,1,0.9375,0.9375,0.6785,1,1,1,0.9405,0.619,1,1,1,1,1,1,0.8565,0.9715,1,0.997,0.973,0.8235,1,0.984,1,1,0.813,0.797,1,1,1,1,0.741,0.741
89,1,1,1,1,0.944,0.944,0.6355,1,1,0.9195,0.9805,0.6015,1,0.804,1,0.989,1,0.804,0.8895,0.6305,1,0.976,1,0.6235,1,0.9785,1,1,0.4775,0.4565,1,0.9265,1,0.994,0.9265,0.853
90,1,1,1,1,1,1,0.607,1,1,1,1,0.607,1,0.6495,1,0.9885,1,0.6495,0.8845,0.354,1,0.6625,1,0.353,1,0.688,0.5215,1,0.319,0.3095,1,1,0.486,1,0.679,0.4815
91,1,1,1,1,0.999,0.999,0.6975,1,1,1,1,0.6975,1,1,1,1,1,1,0.843,0.9795,1,1,1,0.839,1,0.984,0.547,1,0.1655,0.1655,1,0.9335,0.72,0.973,0.603,0.51
92,1,1,1,1,0.991,0.991,0.9255,1,1,1,0.997,0.9225,1,0.814,1,0.98,1,0.814,0.902,0.603,1,0.9875,1,0.6005,1,0.984,0.967,1,0.7605,0.7435,1,1,0.7805,1,0.31,0.3095
93,1,1,1,1,1,1,0.745,0.9035,1,1,1,0.7155,1,1,1,1,1,1,0.5845,1,1,1,1,0.5845,1,1,0.41,1,0.3945,0.394,1,1,0.9045,1,0.9285,0.8765
94,1,1,1,1,1,1,0.804,0.948,1,0.9915,1,0.772,1,1,1,1,1,1,0.692,0.9725,1,1,1,0.691,1,1,1,1,1,1,1,1,0.7595,0.646,0.994,0.5725
95,1,1,1,1,0.9535,0.9535,0.6745,1,1,0.9795,0.9455,0.62,1,1,1,1,1,1,0.807,0.949,1,1,1,0.794,1,0.984,0.621,1,0.0705,0.0705,1,1,0.9365,1,0.6765,0.676
96,1,1,1,1,1,1,0.605,1,1,1,0.996,0.601,1,1,1,1,1,1,0.763,0.9985,1,1,1,0.7625,1,0.9835,0.9975,1,0.095,0.0905,1,1,0.6585,1,0.578,0.5425
97,1,1,1,1,1,1,0.5665,1,1,1,1,0.5665,1,1,1,1,1,1,0.5635,1,1,1,1,0.5635,1,0.539,0.519,1,0.339,0.22,1,1,0.611,1,0.604,0.378
98,1,1,1,1,1,1,0.511,1,1,0.9995,1,0.511,1,1,1,1,1,1,0.8195,0.867,1,1,1,0.7605,1,0.9985,0.55,1,0.152,0.152,1,0.935,0.965,0.999,0.9205,0.833
99,1,1,1,1,1,1,0.4885,1,1,1,1,0.4885,1,1,1,0.9755,1,0.9755,0.5625,1,1,0.825,1,0.5625,1,1,0.4885,1,0.4755,0.4755,1,1,0.9215,1,0.733,0.719
100,1,1,1,1,0.8205,0.8205,0.661,1,1,1,0.9015,0.5625,1,1,1,1,1,1,0.569,1,1,1,1,0.569,1,1,0.069,1,0.0395,0.0395,1,1,0.464,1,0.295,0.294
101,1,1,1,1,0.8175,0.8175,0.6095,1,1,1,1,0.6095,1,1,1,1,1,1,0.7185,1,1,1,1,0.7185,1,1,0.998,1,0.8675,0.8675,1,1,1,1,1,1
102,1,1,1,1,0.7135,0.7135,0.6705,1,1,1,0.892,0.5625,1,1,1,1,1,1,0.66,1,1,1,1,0.66,1,0.984,1,1,0.4715,0.4555,1,1,1,1,0.852,0.852
103,1,1,1,1,1,1,0.368,1,1,1,0.9975,0.3655,1,1,1,1,1,1,0.5645,1,1,0.995,1,0.5645,1,0.98,1,1,0.2825,0.282,1,1,0.999,1,0.645,0.645
104,1,1,1,1,0.9805,0.9805,0.4445,1,1,1,0.974,0.4185,1,1,1,1,1,1,0.737,1,1,0.9175,1,0.7,1,0.976,1,1,0.774,0.75,1,1,1,1,0.9255,0.9255
105,1,1,1,1,0.88,0.88,0.4545,1,1,1,0.999,0.4535,1,1,1,1,1,1,0.851,0.9845,1,1,0.974,0.823,1,0.96,0.9695,1,0.516,0.476,1,0.9345,1,0.9705,0.859,0.7825
106,1,1,1,1,0.9365,0.9365,0.5205,1,1,1,1,0.5205,1,1,1,1,1,1,0.669,0.9625,1,0.999,1,0.669,1,0.89,1,1,0.3795,0.368,1,0.9335,0.4865,0.963,0.591,0.4345
107,1,1,1,1,1,1,0.505,1,1,0.99,1,0.495,1,0.6495,1,0.9695,1,0.6495,0.8285,0.6985,1,0.9595,1,0.6725,1,0.4425,0.729,0.998,0.5425,0.441,1,0.718,0.9075,0.8395,0.803,0.534
108,1,1,1,1,1,1,0.803,1,1,0.7455,1,0.5485,1,1,1,1,1,1,0.7385,0.981,1,1,1,0.7375,1,1,0.9915,1,0.957,0.957,1,1,1,1,0.998,0.998
109,1,1,1,1,0.985,0.985,0.7335,1,1,1,0.98,0.7135,1,0.8185,1,0.977,1,0.8185,0.852,0.759,1,0.9995,1,0.7135,1,0.9775,1,0.9555,0.4595,0.4535,1,1,1,1,0.581,0.581
110,1,1,1,1,0.9595,0.9595,0.562,1,1,0.999,0.953,0.515,1,1,1,1,1,1,0.8555,0.9805,1,1,1,0.8515,1,0.9995,0.773,1,0.21,0.2095,1,1,0.692,1,0.5435,0.5265
111,1,1,1,0.737,1,0.737,0.6885,0.5975,1,0.358,1,0.3425,1,0.6495,1,0.8735,1,0.6495,0.8755,0.354,1,0.6575,1,0.353,1,0.4395,1,0.6425,1,0.396,1,0.9965,0.949,1,1,0.9455
112,1,1,1,1,0.999,0.999,0.6155,1,1,1,1,0.6155,1,1,1,1,1,1,0.881,0.9475,1,1,1,0.869,1,0.6835,0.9995,1,0.565,0.4475,1,0.9335,0.862,0.9655,0.516,0.445
113,1,1,1,1,1,1,0.597,1,1,1,1,0.597,1,1,1,1,1,1,0.836,0.942,1,1,1,0.8155,1,0.984,0.935,1,0.718,0.702,1,1,0.5115,1,0.163,0.1325
114,1,1,1,1,1,1,0.7495,1,1,0.6,1,0.448,1,0.7045,1,0.9605,1,0.7045,0.875,0.629,1,0.9495,1,0.6235,1,0.4425,0.5345,0.989,0.511,0.437,1,1,1,1,0.962,0.962
115,1,1,1,1,0.9665,0.9665,0.4785,1,1,0.9995,1,0.4785,1,1,1,1,1,1,0.785,0.952,1,1,1,0.777,1,1,1,0.9945,0.9755,0.97,1,1,1,1,0.9955,0.9955
116,1,1,1,1,1,1,0.4285,1,1,1,1,0.4285,1,1,1,1,1,1,0.5945,1,1,1,1,0.5945,1,1,0.9985,1,0.7895,0.7895,1,1,0.9995,1,0.4805,0.4805
117,1,1,1,1,1,1,0.5925,1,1,1,1,0.5925,1,1,1,1,1,1,0.787,1,1,1,1,0.787,1,1,0.5305,1,0.264,0.264,1,1,0.9995,1,0.532,0.532
118,1,1,1,1,1,1,0.4785,1,1,1,1,0.4785,1,1,1,1,1,1,0.7235,1,1,1,1,0.7235,1,1,0.333,1,0.153,0.153,1,1,0.995,1,0.974,0.973
119,1,1,1,1,1,1,0.7475,1,1,1,1,0.7475,1,1,1,1,1,1,0.5665,1,1,1,1,0.5665,1,1,1,1,0.7995,0.7995,1,1,1,1,1,1
120,1,1,1,0.298,1,0.298,0.5045,1,0.0565,0.001,1,0,1,1,1,1,1,1,0.556,1,1,0.8155,1,0.556,1,1,0.989,1,0.9885,0.9885,1,1,0.9975,1,0.833,0.8305
121,1,1,1,1,1,1,0.519,1,1,1,1,0.519,1,0.6495,1,0.6965,1,0.6495,0.817,0.7165,1,0.897,1,0.674,1,0.4395,1,1,1,0.4395,1,0.3525,0.9825,0.32,1,0.3125
