idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
149,1,1,1,1,0.999,0.999,0.351,1,1,1,0.999,0.35,1,1,1,1,1,1,0.762,1,1,1,0.9965,0.7585,1,1,0.8755,1,0.745,0.745,1,1,1,1,0.693,0.693
150,1,1,1,1,0.9715,0.9715,0.573,1,1,1,0.995,0.568,1,1,1,1,1,1,0.599,1,1,1,1,0.599,1,0.9805,0.9905,0.946,0.7095,0.64,1,1,1,1,0.9375,0.9375
151,1,1,1,1,1,1,0.3455,1,1,1,1,0.3455,1,1,1,1,1,1,0.8965,0.8045,1,0.985,1,0.763,1,0.936,0.9835,1,0.7155,0.6515,1,1,0.9995,1,0.726,0.726
152,1,1,1,1,0.966,0.966,0.6925,1,1,0.825,0.9965,0.6135,1,1,1,1,1,1,0.9055,0.8505,1,0.9995,1,0.8045,1,0.8945,1,1,0.756,0.6505,1,0.8745,1,0.758,0.939,0.6935
153,1,1,1,1,0.913,0.913,0.8895,1,1,1,0.923,0.8125,1,1,1,1,1,1,0.909,0.764,1,0.9995,1,0.743,1,0.9815,0.976,1,0.348,0.3295,1,1,0.9285,1,0.4175,0.417
154,1,1,1,1,0.8025,0.8025,0.469,1,1,1,0.9355,0.4045,1,1,1,0.9765,1,0.9765,0.5635,1,1,1,1,0.5635,1,1,1,1,0.415,0.415,1,1,0.6095,1,0.308,0.2835
155,1,1,1,1,0.8065,0.8065,0.7055,1,1,1,0.903,0.6085,1,0.82,1,0.9985,1,0.82,0.9005,0.6025,1,0.985,1,0.6005,1,0.984,0.944,0.996,0.036,0.0295,1,1,0.9965,1,0.6715,0.6715
156,1,1,1,1,0.9765,0.9765,0.9295,1,1,0.966,0.971,0.8665,1,0.82,1,0.9705,1,0.82,0.9005,0.6815,1,0.9835,1,0.6675,1,0.983,1,1,0.943,0.926,1,1,1,1,0.786,0.786
157,1,1,1,1,1,1,0.575,1,1,0.963,1,0.567,1,1,1,1,1,1,0.7785,0.9985,1,1,1,0.778,1,0.9795,0.925,1,0.7135,0.693,1,1,1,1,0.739,0.739
158,1,1,1,1,0.9445,0.9445,0.774,1,1,1,0.9435,0.7175,1,1,1,1,1,1,0.5785,1,1,1,1,0.5785,1,0.9995,0.9755,1,0.5085,0.5085,1,1,1,1,0.591,0.591
159,1,1,1,1,1,1,0.3515,1,1,1,1,0.3515,1,0.6495,1,0.8285,1,0.6495,0.5555,1,1,0.81,1,0.5555,1,0.4395,1,0.6455,1,0.393,1,1,1,1,0.6235,0.6235
160,1,1,1,1,0.9995,0.9995,0.8645,1,1,1,0.998,0.8625,1,1,1,1,1,1,0.893,0.8905,1,1,1,0.8295,1,1,0.983,1,0.176,0.176,1,1,0.9845,1,0.756,0.756
161,1,1,1,1,0.8055,0.8055,0.8645,1,1,1,0.899,0.7635,1,1,1,1,1,1,0.8215,0.9505,1,1,1,0.809,1,0.984,1,0.9965,0.5995,0.58,1,1,0.888,1,0.4055,0.4055
162,1,1,1,1,1,1,0.406,1,1,1,1,0.406,1,1,1,1,1,1,0.553,1,1,1,1,0.553,1,1,0.921,1,0.7815,0.7815,1,1,1,1,0.9375,0.9375
163,1,1,1,1,1,1,0.7685,0.075,1,0.3575,1,0.0645,1,0.6495,1,0.818,1,0.6495,0.8605,0.5235,1,0.846,1,0.5225,1,0.4395,1,1,1,0.4395,1,0.3525,1,0.348,1,0.3335
164,1,1,1,1,0.646,0.646,0.761,1,1,1,0.8905,0.6515,1,0.82,1,0.995,1,0.82,0.9075,0.604,1,0.9865,1,0.6025,1,0.984,0.9965,1,0,0,1,1,1,1,0.7385,0.7385
165,1,1,1,1,0.994,0.994,0.618,1,1,0.999,1,0.618,1,0.8195,1,1,1,0.8195,0.8975,0.602,1,0.975,1,0.5995,1,0.984,1,1,0.145,0.144,1,0.9335,0.898,0.9925,0.729,0.6615
166,1,1,1,1,0.9285,0.9285,0.6795,1,1,1,1,0.6795,1,0.7335,1,0.9805,1,0.7335,0.8735,0.602,1,0.8885,1,0.599,1,0.6905,1,1,1,0.6905,1,0.9895,1,0.9855,1,0.979
167,1,1,1,1,0.9695,0.9695,0.5175,1,1,1,0.9685,0.486,1,1,1,1,1,1,0.8865,0.9645,1,0.9965,1,0.8775,1,0.9135,1,1,0.674,0.6045,1,1,1,1,0.866,0.866
168,1,1,1,1,0.989,0.989,0.527,1,1,1,0.9705,0.4975,1,0.817,1,1,1,0.817,0.897,0.634,1,0.928,1,0.6275,1,0.8265,1,1,0.7575,0.584,1,0.9965,1,0.9805,0.998,0.9785
