2.726363181590795159e-01,5.272636318159079627e-01,9.654827413706853489e-01,2.061030515257628870e-01
2.261130565282641336e-01,2.836418209104552002e-01,6.953476738369183952e-02,6.503251625812905834e-02
2.286143071535767790e-01,1.000000000000000000e+00,7.348674337168584758e-01,2.286143071535767790e-01
2.196098049024512167e-01,5.847923961980990848e-01,9.784892446223111273e-01,1.090545272636318092e-01
4.922461230615307604e-01,0.000000000000000000e+00,1.545772886443221583e-01,0.000000000000000000e+00
5.142571285642821843e-01,9.434717358679339805e-01,9.439719859929964763e-01,5.127563781890945860e-01
2.086043021510755324e-01,1.000000000000000000e+00,2.961480740370184828e-01,2.066033016508254105e-01
1.455727863931965960e-01,2.716358179089544689e-01,6.953476738369183952e-02,6.503251625812905834e-02
1.740870435217608814e-01,5.912956478239119740e-01,2.801400700350175077e-01,1.285642821410705461e-01
2.336168084042020976e-01,1.000000000000000000e+00,9.644822411205602464e-01,2.336168084042020976e-01
2.426213106553276599e-01,9.959979989994997007e-01,9.784892446223111273e-01,2.426213106553276599e-01
2.496248124062031004e-01,3.696848424212105799e-01,1.565782891445722802e-01,1.525762881440720364e-01
4.492246123061530705e-01,0.000000000000000000e+00,4.502251125562781175e-02,0.000000000000000000e+00
2.536268134067033442e-01,7.553776888444221904e-02,7.903951975987993928e-02,6.253126563281641292e-02
1.090545272636318092e-01,9.904952476238119141e-01,3.851925962981490592e-01,1.090545272636318092e-01
3.456728364182091173e-01,5.937968984492245639e-01,8.509254627313657116e-01,2.516258129064532501e-01
5.217608804402200651e-01,9.299649824912455953e-01,9.489744872436217671e-01,4.872436218109054695e-01
2.681340670335167764e-01,8.944472236118059527e-01,8.549274637318658998e-01,2.616308154077038317e-01
5.527763881940970236e-01,7.553776888444221904e-02,2.851425712856428193e-02,1.950975487743871958e-02
2.286143071535767790e-01,9.419709854927463821e-01,7.128564282141071073e-01,2.286143071535767790e-01
3.696848424212105799e-01,4.447223611805902754e-01,6.103051525762881457e-01,3.266633316658328900e-01
2.521260630315157458e-01,1.000000000000000000e+00,9.844922461230615207e-01,2.521260630315157458e-01
2.151075537768884494e-01,1.000000000000000000e+00,9.814907453726863240e-01,2.151075537768884494e-01
2.166083041520760477e-01,9.969984992496248033e-01,5.917958979489744697e-01,2.166083041520760477e-01
2.366183091545772943e-01,4.772386193096548324e-01,8.074037018509254704e-01,2.191095547773886931e-01
4.532266133066533143e-01,2.246123061530765352e-01,4.822411205602801232e-01,2.181090545272636183e-01
3.006503251625812778e-01,9.759879939969985374e-01,8.389194597298649247e-01,2.871435717858929482e-01
1.100550275137568840e-01,7.523761880940470492e-01,6.803401700850425504e-01,1.100550275137568840e-01
2.766383191595798152e-01,5.447723861930965361e-01,6.793396698349174478e-01,2.606303151575787846e-01
