idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
69,1.00,1.00,1.00,1.00,0.99,0.99,0.70,1.00,1.00,1.00,0.99,0.68,1.00,0.77,1.00,0.96,1.00,0.77,0.74,0.53,1.00,0.85,1.00,0.45,1.00,1.00,1.00,1.00,0.97,0.97,1.00,1.00,1.00,0.98,0.96,0.94
70,1.00,0.89,1.00,1.00,0.99,0.88,0.74,1.00,1.00,0.45,0.99,0.20,1.00,0.44,1.00,0.51,1.00,0.44,0.53,0.31,1.00,0.56,1.00,0.28,1.00,0.90,0.99,0.85,0.17,0.11,1.00,0.88,0.60,0.66,0.92,0.31
71,1.00,1.00,1.00,1.00,1.00,1.00,0.10,1.00,1.00,0.93,1.00,0.10,1.00,1.00,1.00,0.89,1.00,0.89,0.22,1.00,1.00,0.65,1.00,0.22,1.00,1.00,1.00,0.92,0.87,0.80,1.00,1.00,1.00,0.15,1.00,0.15
72,1.00,1.00,1.00,1.00,0.99,0.99,0.54,1.00,1.00,1.00,0.99,0.53,1.00,0.73,1.00,0.99,1.00,0.73,0.36,0.72,1.00,0.90,1.00,0.35,1.00,1.00,1.00,1.00,0.97,0.97,1.00,1.00,1.00,0.99,1.00,0.99
73,1.00,1.00,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,0.81,1.00,0.81,0.30,0.64,1.00,0.83,1.00,0.30,1.00,0.42,1.00,1.00,1.00,0.42,1.00,0.96,0.99,0.98,0.99,0.94
74,1.00,1.00,1.00,1.00,0.98,0.98,0.36,1.00,1.00,1.00,0.99,0.35,1.00,1.00,1.00,0.99,1.00,0.99,0.46,0.95,1.00,0.95,1.00,0.46,1.00,1.00,1.00,1.00,0.87,0.87,1.00,1.00,1.00,0.99,0.99,0.97
75,1.00,1.00,1.00,1.00,0.99,0.99,0.62,1.00,1.00,1.00,0.99,0.61,1.00,1.00,1.00,1.00,1.00,1.00,0.39,0.99,1.00,0.97,1.00,0.39,1.00,1.00,1.00,0.99,0.44,0.43,1.00,1.00,0.96,1.00,0.95,0.93
76,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,1.00,1.00,1.00,0.23,1.00,1.00,0.95,1.00,0.23,1.00,1.00,1.00,1.00,0.90,0.90,1.00,1.00,1.00,1.00,0.99,0.99
77,1.00,1.00,1.00,1.00,0.95,0.95,0.70,1.00,1.00,1.00,0.96,0.66,1.00,0.44,1.00,0.79,1.00,0.44,0.60,0.16,1.00,0.57,1.00,0.15,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.94,0.24,0.90,0.75,0.19
78,1.00,1.00,1.00,1.00,0.95,0.95,0.68,1.00,1.00,1.00,0.97,0.65,1.00,0.79,1.00,0.95,1.00,0.79,0.74,0.65,1.00,0.87,1.00,0.53,1.00,1.00,1.00,1.00,0.55,0.54,1.00,1.00,1.00,0.99,0.99,0.98
79,1.00,1.00,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,0.84,1.00,0.84,0.22,1.00,1.00,0.36,1.00,0.22,1.00,1.00,1.00,0.96,1.00,0.96,1.00,1.00,1.00,0.14,1.00,0.14
80,1.00,1.00,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,0.81,1.00,0.81,0.29,0.62,1.00,0.70,1.00,0.29,1.00,1.00,0.51,1.00,0.27,0.26,1.00,1.00,0.99,0.15,1.00,0.15
81,1.00,1.00,1.00,1.00,0.97,0.97,0.82,1.00,1.00,1.00,0.97,0.79,1.00,0.44,1.00,0.74,1.00,0.44,0.49,0.36,1.00,0.59,1.00,0.31,1.00,1.00,0.02,1.00,0.00,0.00,1.00,0.99,0.25,0.99,0.77,0.22
82,1.00,1.00,1.00,1.00,0.99,0.99,0.23,1.00,1.00,1.00,0.99,0.22,1.00,1.00,1.00,0.82,1.00,0.82,0.24,1.00,1.00,0.78,1.00,0.24,1.00,1.00,0.87,1.00,0.43,0.43,1.00,0.99,0.92,0.82,0.83,0.60
83,1.00,1.00,1.00,1.00,0.94,0.94,0.67,1.00,1.00,1.00,0.92,0.58,1.00,1.00,1.00,1.00,1.00,1.00,0.70,0.95,1.00,0.96,1.00,0.70,1.00,1.00,1.00,1.00,0.62,0.62,1.00,1.00,1.00,0.98,0.98,0.96
84,0.82,1.00,1.00,0.80,1.00,0.74,0.43,0.00,1.00,0.47,1.00,0.00,1.00,0.44,1.00,0.69,1.00,0.44,0.23,0.79,1.00,0.74,1.00,0.23,1.00,0.11,1.00,0.94,1.00,0.11,1.00,0.95,1.00,0.94,0.94,0.88
85,1.00,1.00,1.00,1.00,1.00,1.00,0.48,1.00,1.00,1.00,1.00,0.47,1.00,1.00,1.00,1.00,1.00,1.00,0.72,0.96,1.00,0.95,0.99,0.72,1.00,0.94,0.50,1.00,0.05,0.04,1.00,1.00,0.92,1.00,0.96,0.90
86,1.00,1.00,1.00,1.00,1.00,1.00,0.32,1.00,1.00,0.00,1.00,0.00,1.00,0.44,1.00,0.80,1.00,0.44,0.43,0.41,1.00,0.63,1.00,0.33,1.00,0.40,0.41,0.50,0.22,0.07,1.00,0.86,1.00,0.42,0.99,0.41
87,1.00,1.00,1.00,1.00,0.92,0.92,0.64,1.00,1.00,1.00,0.97,0.61,1.00,1.00,1.00,0.83,1.00,0.83,0.29,0.63,1.00,0.76,1.00,0.29,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.98,0.38,0.97,0.79,0.34
88,1.00,1.00,1.00,1.00,0.98,0.98,0.59,1.00,1.00,1.00,0.98,0.57,1.00,1.00,1.00,1.00,1.00,1.00,0.73,0.95,1.00,0.94,0.99,0.72,1.00,1.00,0.99,1.00,0.76,0.76,1.00,1.00,1.00,0.98,0.95,0.93
89,1.00,1.00,1.00,1.00,0.99,0.99,0.57,1.00,1.00,0.90,0.99,0.54,1.00,0.76,1.00,0.96,1.00,0.76,0.67,0.46,1.00,0.81,1.00,0.37,1.00,1.00,1.00,1.00,0.57,0.57,1.00,0.99,1.00,0.98,1.00,0.98
90,1.00,1.00,1.00,1.00,1.00,1.00,0.43,1.00,1.00,1.00,1.00,0.43,1.00,0.44,1.00,0.81,1.00,0.44,0.60,0.11,1.00,0.37,1.00,0.10,1.00,0.98,0.18,1.00,0.05,0.05,1.00,0.99,0.39,0.98,0.92,0.38
91,1.00,1.00,1.00,1.00,0.99,0.99,0.63,1.00,1.00,1.00,0.99,0.62,1.00,1.00,1.00,1.00,1.00,1.00,0.70,0.96,1.00,0.96,1.00,0.70,1.00,1.00,0.24,1.00,0.03,0.03,1.00,1.00,0.66,0.97,0.92,0.62
92,1.00,1.00,1.00,1.00,0.99,0.99,0.92,1.00,1.00,1.00,0.99,0.91,1.00,0.76,1.00,0.95,1.00,0.76,0.66,0.35,1.00,0.79,1.00,0.32,1.00,1.00,0.66,1.00,0.34,0.34,1.00,1.00,0.75,1.00,0.82,0.63
93,1.00,1.00,1.00,1.00,1.00,1.00,0.70,1.00,1.00,1.00,1.00,0.70,1.00,1.00,1.00,0.85,1.00,0.85,0.24,1.00,1.00,0.94,1.00,0.24,1.00,1.00,0.07,1.00,0.06,0.06,1.00,1.00,0.92,0.99,0.97,0.90
94,1.00,1.00,1.00,1.00,1.00,1.00,0.69,0.92,1.00,0.97,1.00,0.61,1.00,1.00,1.00,0.85,1.00,0.85,0.28,0.82,1.00,0.91,1.00,0.28,1.00,1.00,1.00,0.83,1.00,0.83,1.00,1.00,0.86,0.20,1.00,0.17
95,1.00,1.00,1.00,1.00,0.98,0.98,0.67,1.00,1.00,0.98,0.98,0.65,1.00,1.00,1.00,1.00,1.00,1.00,0.38,0.93,1.00,0.95,1.00,0.38,1.00,1.00,0.45,1.00,0.02,0.02,1.00,1.00,0.92,0.98,0.93,0.85
96,0.99,1.00,1.00,0.99,1.00,0.98,0.52,1.00,1.00,1.00,0.98,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.34,0.98,1.00,0.96,1.00,0.34,1.00,1.00,0.88,1.00,0.46,0.46,1.00,1.00,0.59,0.99,0.93,0.56
97,0.99,1.00,1.00,1.00,1.00,0.99,0.48,1.00,1.00,1.00,1.00,0.48,1.00,1.00,1.00,1.00,1.00,1.00,0.24,1.00,1.00,0.98,1.00,0.24,1.00,0.89,0.10,1.00,0.07,0.04,0.90,1.00,0.23,1.00,0.74,0.16
98,1.00,1.00,1.00,0.84,1.00,0.84,0.41,1.00,1.00,1.00,0.99,0.41,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.88,1.00,0.94,1.00,0.40,1.00,1.00,0.12,1.00,0.03,0.03,1.00,0.99,0.95,0.98,0.97,0.91
99,1.00,1.00,1.00,1.00,1.00,1.00,0.47,1.00,1.00,1.00,1.00,0.47,1.00,1.00,1.00,0.81,1.00,0.81,0.23,0.97,1.00,0.38,1.00,0.23,1.00,1.00,0.09,0.87,0.09,0.09,1.00,1.00,0.95,0.95,0.94,0.86
100,1.00,1.00,1.00,1.00,0.96,0.96,0.66,1.00,1.00,1.00,0.97,0.63,1.00,1.00,1.00,0.89,1.00,0.89,0.23,1.00,1.00,0.89,1.00,0.23,1.00,1.00,0.01,1.00,0.00,0.00,1.00,1.00,0.43,0.99,0.79,0.40
101,1.00,1.00,1.00,1.00,0.93,0.93,0.61,1.00,1.00,1.00,0.99,0.60,1.00,1.00,1.00,1.00,1.00,1.00,0.37,0.99,1.00,0.97,1.00,0.37,1.00,1.00,1.00,1.00,0.93,0.93,1.00,1.00,1.00,0.98,1.00,0.98
102,1.00,1.00,1.00,1.00,0.92,0.92,0.62,1.00,1.00,1.00,0.96,0.58,1.00,1.00,1.00,1.00,1.00,1.00,0.27,1.00,1.00,0.97,1.00,0.27,1.00,1.00,1.00,1.00,0.66,0.66,1.00,1.00,1.00,0.99,0.98,0.97
103,1.00,1.00,1.00,1.00,0.98,0.98,0.25,1.00,1.00,1.00,0.99,0.24,1.00,1.00,1.00,1.00,1.00,1.00,0.23,1.00,1.00,0.86,1.00,0.23,1.00,1.00,0.91,1.00,0.24,0.24,1.00,1.00,0.96,0.99,0.91,0.90
104,1.00,1.00,1.00,1.00,0.99,0.99,0.36,1.00,1.00,1.00,0.99,0.35,1.00,1.00,1.00,1.00,1.00,1.00,0.32,0.99,1.00,0.79,1.00,0.31,1.00,1.00,1.00,1.00,0.71,0.71,1.00,1.00,1.00,0.99,0.98,0.98
105,1.00,1.00,1.00,1.00,0.92,0.92,0.36,1.00,1.00,1.00,0.99,0.35,1.00,1.00,1.00,1.00,1.00,1.00,0.69,0.95,1.00,0.96,0.99,0.68,1.00,1.00,0.93,1.00,0.50,0.50,1.00,1.00,1.00,0.97,0.99,0.95
106,1.00,1.00,1.00,1.00,0.97,0.97,0.42,1.00,1.00,1.00,0.99,0.41,1.00,1.00,1.00,0.88,1.00,0.88,0.28,0.68,1.00,0.76,1.00,0.28,1.00,1.00,1.00,1.00,0.43,0.43,1.00,0.96,0.31,0.91,0.87,0.25
107,1.00,1.00,1.00,1.00,1.00,1.00,0.48,1.00,1.00,0.87,1.00,0.34,1.00,0.44,1.00,0.79,1.00,0.44,0.43,0.41,1.00,0.62,1.00,0.33,1.00,0.96,0.41,0.78,0.12,0.10,1.00,0.86,0.94,0.81,0.94,0.65
108,1.00,1.00,1.00,1.00,1.00,1.00,0.79,1.00,1.00,0.66,1.00,0.46,1.00,1.00,1.00,1.00,1.00,1.00,0.35,0.97,1.00,0.96,1.00,0.35,1.00,1.00,0.98,1.00,0.87,0.87,1.00,1.00,1.00,0.99,1.00,0.99
109,1.00,1.00,1.00,0.88,0.99,0.88,0.73,1.00,1.00,1.00,0.99,0.72,1.00,0.75,1.00,0.95,1.00,0.75,0.47,0.70,1.00,0.88,1.00,0.41,1.00,1.00,1.00,0.88,0.60,0.53,1.00,0.99,1.00,0.97,0.94,0.92
110,1.00,1.00,1.00,1.00,0.98,0.98,0.43,1.00,1.00,1.00,0.98,0.42,1.00,1.00,1.00,1.00,1.00,1.00,0.68,0.96,1.00,0.95,1.00,0.68,1.00,1.00,0.49,1.00,0.22,0.21,0.99,1.00,0.63,1.00,0.87,0.58
111,1.00,1.00,1.00,0.41,1.00,0.41,0.59,0.51,1.00,0.09,1.00,0.09,1.00,0.44,1.00,0.69,1.00,0.44,0.58,0.11,1.00,0.34,1.00,0.10,1.00,0.22,1.00,0.16,0.64,0.06,1.00,0.95,0.88,0.89,0.97,0.77
112,1.00,1.00,1.00,1.00,1.00,1.00,0.61,1.00,1.00,1.00,1.00,0.61,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.95,1.00,0.95,1.00,0.71,1.00,0.95,1.00,1.00,0.38,0.35,1.00,1.00,0.88,0.96,0.92,0.79
113,1.00,1.00,1.00,1.00,0.99,0.99,0.47,1.00,1.00,1.00,0.99,0.46,1.00,1.00,1.00,1.00,1.00,1.00,0.41,0.93,1.00,0.95,1.00,0.41,1.00,1.00,0.57,1.00,0.48,0.46,1.00,1.00,0.39,1.00,0.75,0.29
114,1.00,1.00,1.00,1.00,1.00,1.00,0.74,1.00,1.00,0.54,1.00,0.37,1.00,0.59,1.00,0.94,1.00,0.59,0.62,0.34,1.00,0.78,1.00,0.30,1.00,0.94,0.12,0.70,0.10,0.09,1.00,0.99,1.00,0.94,0.99,0.93
115,1.00,1.00,1.00,1.00,0.98,0.98,0.46,1.00,1.00,1.00,0.99,0.45,1.00,1.00,1.00,1.00,1.00,1.00,0.44,0.95,1.00,0.96,1.00,0.44,1.00,1.00,1.00,0.97,0.98,0.95,1.00,1.00,1.00,0.99,1.00,0.99
116,1.00,1.00,1.00,1.00,0.98,0.98,0.37,1.00,1.00,1.00,0.99,0.36,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,0.98,1.00,0.25,1.00,1.00,0.98,1.00,0.73,0.72,1.00,1.00,1.00,1.00,0.88,0.88
117,1.00,1.00,1.00,1.00,1.00,1.00,0.31,1.00,1.00,0.98,1.00,0.31,1.00,1.00,1.00,1.00,1.00,1.00,0.59,1.00,1.00,0.97,1.00,0.59,1.00,1.00,0.20,1.00,0.05,0.05,1.00,1.00,1.00,1.00,0.94,0.93
118,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.98,1.00,0.26,1.00,1.00,1.00,1.00,1.00,1.00,0.36,0.99,1.00,0.97,1.00,0.36,1.00,1.00,0.05,1.00,0.03,0.03,0.89,1.00,0.94,1.00,0.91,0.77
119,1.00,1.00,1.00,1.00,1.00,1.00,0.65,1.00,1.00,1.00,1.00,0.64,1.00,1.00,1.00,1.00,1.00,1.00,0.24,1.00,1.00,0.99,1.00,0.24,1.00,1.00,1.00,1.00,0.55,0.55,1.00,1.00,1.00,0.99,0.99,0.99
120,0.81,1.00,1.00,0.05,1.00,0.04,0.26,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.89,1.00,0.89,0.23,1.00,1.00,0.37,1.00,0.23,1.00,1.00,0.65,0.97,0.73,0.62,1.00,1.00,1.00,1.00,0.98,0.98
121,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00,1.00,1.00,0.33,1.00,0.44,1.00,0.50,1.00,0.44,0.41,0.42,1.00,0.52,1.00,0.32,1.00,0.18,1.00,0.76,1.00,0.18,1.00,0.08,1.00,0.06,1.00,0.06
122,1.00,1.00,1.00,1.00,1.00,1.00,0.75,1.00,1.00,1.00,1.00,0.75,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,0.96,1.00,0.25,1.00,1.00,0.08,1.00,0.06,0.06,1.00,1.00,0.81,1.00,0.97,0.81
123,1.00,1.00,1.00,1.00,0.97,0.97,0.39,1.00,1.00,1.00,0.99,0.38,1.00,1.00,1.00,1.00,1.00,1.00,0.37,0.94,1.00,0.95,1.00,0.37,1.00,1.00,0.74,1.00,0.53,0.53,1.00,1.00,0.91,1.00,0.85,0.83
124,1.00,1.00,1.00,1.00,0.99,0.99,0.74,1.00,1.00,0.84,0.99,0.57,1.00,0.64,1.00,0.87,1.00,0.64,0.68,0.23,1.00,0.48,1.00,0.20,1.00,1.00,1.00,1.00,0.75,0.75,1.00,0.86,1.00,0.95,1.00,0.85
125,1.00,1.00,1.00,1.00,0.98,0.98,0.49,1.00,1.00,1.00,0.99,0.48,1.00,1.00,1.00,1.00,1.00,1.00,0.36,0.99,1.00,0.97,1.00,0.36,1.00,1.00,0.95,1.00,0.22,0.22,1.00,1.00,0.90,1.00,0.84,0.76
126,1.00,1.00,1.00,1.00,0.98,0.98,0.89,1.00,1.00,1.00,0.97,0.87,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.81,1.00,0.74,1.00,0.50,1.00,1.00,0.52,1.00,0.12,0.12,1.00,1.00,1.00,0.99,0.95,0.94
127,1.00,1.00,1.00,1.00,1.00,1.00,0.60,1.00,1.00,1.00,0.99,0.59,1.00,0.44,1.00,0.53,1.00,0.44,0.59,0.11,1.00,0.44,1.00,0.10,1.00,0.78,0.08,1.00,0.04,0.02,1.00,0.98,0.60,0.96,0.88,0.55
128,1.00,1.00,1.00,1.00,0.99,0.99,0.57,1.00,1.00,1.00,1.00,0.56,1.00,1.00,1.00,1.00,1.00,1.00,0.34,1.00,1.00,0.98,1.00,0.34,1.00,1.00,0.49,1.00,0.13,0.13,1.00,1.00,0.19,1.00,0.80,0.18
129,1.00,1.00,1.00,1.00,0.99,0.99,0.25,1.00,1.00,1.00,0.99,0.24,1.00,1.00,1.00,1.00,1.00,1.00,0.24,1.00,1.00,0.97,1.00,0.24,1.00,1.00,0.05,1.00,0.05,0.05,0.77,1.00,1.00,1.00,0.99,0.76
130,1.00,1.00,1.00,1.00,1.00,1.00,0.77,1.00,1.00,1.00,1.00,0.77,1.00,1.00,1.00,1.00,1.00,1.00,0.34,0.98,1.00,0.96,1.00,0.34,1.00,1.00,0.55,1.00,0.39,0.39,1.00,1.00,0.81,1.00,0.93,0.79
131,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,0.81,1.00,0.81,0.57,0.15,1.00,0.33,1.00,0.14,1.00,0.99,0.10,1.00,0.10,0.09,1.00,0.98,0.83,0.98,0.88,0.70
132,1.00,1.00,1.00,1.00,0.94,0.94,0.79,1.00,1.00,0.80,0.97,0.61,1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.92,1.00,0.94,1.00,0.78,1.00,1.00,1.00,1.00,0.96,0.96,1.00,1.00,1.00,0.98,0.99,0.97
133,1.00,1.00,1.00,1.00,0.97,0.97,0.32,1.00,1.00,1.00,0.96,0.27,1.00,1.00,1.00,1.00,1.00,1.00,0.32,0.98,1.00,0.97,1.00,0.32,1.00,1.00,1.00,1.00,0.77,0.77,1.00,1.00,1.00,1.00,0.97,0.96
134,1.00,1.00,1.00,1.00,1.00,1.00,0.47,0.99,1.00,0.94,1.00,0.41,1.00,0.44,1.00,0.75,1.00,0.44,0.50,0.33,1.00,0.48,1.00,0.28,1.00,0.90,0.99,1.00,0.60,0.53,1.00,0.99,0.98,0.98,0.94,0.90
135,1.00,1.00,1.00,1.00,1.00,1.00,0.29,1.00,1.00,1.00,1.00,0.29,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,0.88,1.00,0.25,1.00,1.00,0.51,1.00,0.21,0.21,1.00,1.00,0.66,1.00,0.98,0.66
136,1.00,1.00,1.00,1.00,0.98,0.98,0.55,1.00,1.00,1.00,0.98,0.53,1.00,0.80,1.00,0.99,1.00,0.80,0.72,0.72,1.00,0.89,1.00,0.57,1.00,1.00,0.89,1.00,0.37,0.37,1.00,0.99,1.00,0.98,0.99,0.97
137,0.95,1.00,1.00,1.00,1.00,0.95,0.79,1.00,1.00,0.88,0.99,0.67,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.83,1.00,0.92,1.00,0.61,1.00,1.00,0.70,1.00,0.08,0.08,1.00,1.00,0.79,0.99,0.80,0.64
138,1.00,1.00,1.00,1.00,1.00,1.00,0.57,1.00,1.00,1.00,0.99,0.57,1.00,1.00,1.00,0.86,1.00,0.86,0.28,0.83,1.00,0.89,1.00,0.28,1.00,0.98,0.05,1.00,0.04,0.04,1.00,0.94,0.82,0.71,0.93,0.53
139,1.00,1.00,1.00,1.00,1.00,1.00,0.51,1.00,1.00,1.00,1.00,0.50,1.00,0.44,1.00,0.70,1.00,0.44,0.48,0.30,1.00,0.44,1.00,0.27,1.00,0.52,1.00,0.88,1.00,0.50,1.00,0.11,1.00,0.07,1.00,0.06
140,1.00,1.00,1.00,1.00,0.97,0.97,0.88,1.00,1.00,1.00,0.95,0.84,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.96,1.00,0.96,1.00,0.71,1.00,1.00,1.00,1.00,0.87,0.87,1.00,1.00,1.00,0.98,0.99,0.97
141,1.00,1.00,1.00,1.00,0.99,0.99,0.25,1.00,1.00,1.00,0.99,0.24,1.00,1.00,1.00,1.00,1.00,1.00,0.24,1.00,1.00,0.98,1.00,0.24,1.00,1.00,0.05,1.00,0.05,0.05,0.77,1.00,1.00,1.00,0.99,0.76
142,1.00,1.00,1.00,1.00,1.00,1.00,0.35,1.00,1.00,1.00,1.00,0.35,1.00,0.68,1.00,0.96,1.00,0.68,0.47,0.43,1.00,0.80,1.00,0.34,1.00,0.83,1.00,0.64,0.94,0.51,1.00,0.98,1.00,0.94,1.00,0.93
143,1.00,1.00,1.00,1.00,0.97,0.97,0.87,1.00,1.00,1.00,0.97,0.84,1.00,1.00,1.00,1.00,1.00,1.00,0.73,0.94,1.00,0.95,1.00,0.73,1.00,1.00,1.00,1.00,0.96,0.96,1.00,1.00,0.63,1.00,0.82,0.58
144,1.00,1.00,1.00,1.00,1.00,1.00,0.71,1.00,1.00,1.00,0.99,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.98,1.00,0.26,1.00,1.00,0.98,1.00,0.75,0.74,1.00,1.00,1.00,1.00,0.99,0.98
145,1.00,1.00,1.00,1.00,1.00,1.00,0.16,1.00,1.00,1.00,1.00,0.16,1.00,1.00,1.00,1.00,1.00,1.00,0.23,1.00,1.00,0.98,1.00,0.23,1.00,0.62,0.83,1.00,0.35,0.17,0.81,1.00,1.00,1.00,0.98,0.79
